統計期,總計,大客車,大客車-自用,大客車-營業,大貨車,大貨車-自用,大貨車-營業,小客車,小客車-自用,小客車-營業,小客車-營業-計程車,小貨車,小貨車-自用,小貨車-營業,特種車,機車,機車-重型,機車-輕型
106年12月,21704365,34188,1650,32538,167088,96685,70403,6763422,6542685,220737,87604,919294,879034,40260,64791,13755582,12531519,1224063
107年1月,21725408,34066,1643,32423,166665,96514,70151,6776083,6554124,221959,87731,919834,879571,40263,64622,13764138,12556666,1207472
107年2月,21734189,34057,1645,32412,166521,96528,69993,6779466,6557020,222446,87796,920180,879796,40384,64603,13769362,12573316,1196046
107年3月,21746355,34081,1648,32433,166266,96407,69859,6784083,6561077,223006,87877,921136,880618,40518,64579,13776210,12600656,1175554
107年4月,21753382,34065,1642,32423,166154,96326,69828,6786324,6562719,223605,87870,921679,881122,40557,64516,13780644,12619563,1161081
107年5月,21769377,34057,1632,32425,166141,96270,69871,6793140,6569004,224136,87945,922604,882029,40575,64626,13788809,12644567,1144242
107年6月,21795010,33997,1630,32367,166183,96291,69892,6804823,6578869,225954,87965,923519,882875,40644,64718,13801770,12672390,1129380
107年7月,21806337,33961,1638,32323,166006,96196,69810,6815272,6588343,226929,87955,923812,883227,40585,65014,13802272,12694776,1107496
107年8月,21808992,33904,1643,32261,165667,96083,69584,6814537,6588082,226455,87883,923973,883433,40540,65270,13805641,12717018,1088623
107年9月,21836184,33845,1632,32213,165600,96081,69519,6820976,6593900,227076,87868,925157,884276,40881,65221,13825385,12752308,1073077
107年10月,21845697,33875,1629,32246,165356,95988,69368,6827292,6600111,227181,87809,925614,884864,40750,65229,13828331,12773536,1054795
107年11月,21859263,33868,1640,32228,164736,95715,69021,6836595,6608779,227816,87743,926286,885313,40973,65286,13832492,12792640,1039852
107年12月,21871240,33877,1622,32255,164661,95665,68996,6845711,6617429,228282,87685,926128,885166,40962,65343,13835520,12821767,1013753
108年1月,21887552,33859,1615,32244,164901,95770,69131,6853707,6624024,229683,87612,926843,885689,41154,65193,13843049,12841791,1001258
108年2月,21891285,33872,1602,32270,164982,95783,69199,6851210,6621548,229662,87491,926937,885771,41166,65164,13849120,12856874,992246
108年3月,21905808,33851,1598,32253,165225,95857,69368,6854477,6624252,230225,87420,927423,886405,41018,65152,13859680,12879933,979747
108年4月,21920883,33884,1598,32286,165602,95976,69626,6856436,6626351,230085,87400,928315,887238,41077,65089,13871557,12903813,967744
108年5月,21939999,33936,1601,32335,165903,96143,69760,6865266,6634089,231177,87321,929170,888135,41035,65012,13880712,12925156,955556
