統計期,臺鐵旅客人數,臺鐵延人公里,臺鐵客運收入,高鐵旅客人數(千人次),高鐵延人公里,臺北捷運旅客人數,臺北捷運延人公里,臺北捷運客運收入,高雄捷運旅客人數,高雄捷運延人公里,高雄捷運客運收入,桃園機場捷運旅客人數,桃園機場捷運延人公里,桃園機場捷運客運收入,新北捷運旅客人數,新北捷運延人公里,新北捷運客運收入,臺中捷運旅客人數,臺中捷運延人公里,臺中捷運客運收入
110年8月,9128.0,422709.0,684920.0,2225.0,392951.0,31910.0,267195.0,736154.0,2129.0,17485.0,49854.0,914.0,13460.0,39847.0,209.0,852.0,2761.0,362.0,2259.0,9016.0
110年9月,11511.0,520847.0,839186.0,2960.0,528498.0,37418.0,311525.0,863114.0,2799.0,22616.0,64708.0,1008.0,14548.0,36929.0,241.0,992.0,6492.0,490.0,3086.0,12289.0
110年10月,14784.0,689444.0,1091705.0,4033.0,708184.0,48391.0,400544.0,1103289.0,3832.0,30534.0,87236.0,1309.0,19012.0,51793.0,348.0,1475.0,5481.0,694.0,4386.0,17395.0
110年11月,15696.0,717096.0,1116675.0,4537.0,791612.0,53695.0,444736.0,1223818.0,3936.0,31359.0,89541.0,1400.0,20426.0,55315.0,334.0,1366.0,5097.0,753.0,4825.0,18926.0
110年12月,17382.0,796219.0,1246340.0,5539.0,954015.0,60045.0,491314.0,1423622.0,4918.0,38979.0,92800.0,1589.0,23382.0,65093.0,359.0,1473.0,5535.0,902.0,5736.0,22523.0
111年1月,13848.0,639960.0,1032368.0,4149.0,729927.0,49840.0,406962.0,1135101.0,3682.0,31080.0,83623.0,1240.0,17643.0,44301.0,304.0,1217.0,4984.0,757.0,4761.0,18742.0
111年2月,12613.0,621035.0,1022482.0,3973.0,711695.0,41907.0,339945.0,968887.0,4112.0,31844.0,90293.0,1095.0,15687.0,48805.0,291.0,1180.0,4871.0,782.0,4812.0,19342.0
111年3月,16141.0,723046.0,1138836.0,4837.0,820519.0,57507.0,475459.0,1290074.0,3938.0,31506.0,88208.0,1478.0,21344.0,57169.0,371.0,1503.0,6718.0,867.0,5471.0,21862.0
111年4月,13162.0,624279.0,1003798.0,3976.0,692991.0,43166.0,354808.0,982918.0,3264.0,26317.0,74865.0,1188.0,17113.0,46086.0,291.0,1178.0,5039.0,683.0,4342.0,15708.0
111年5月,9331.0,408786.0,646873.0,2643.0,437823.0,33442.0,273890.0,764594.0,2424.0,19890.0,56833.0,957.0,13615.0,33060.0,227.0,887.0,3780.0,487.0,3049.0,12076.0
111年6月,10549.0,493255.0,812050.0,3134.0,527773.0,39433.0,320558.0,897595.0,2381.0,19688.0,55958.0,1107.0,15888.0,44608.0,267.0,1073.0,4358.0,494.0,3140.0,12285.0
111年7月,13857.0,706597.0,1164123.0,4432.0,757269.0,47378.0,382377.0,1075782.0,3645.0,29203.0,82599.0,1393.0,20408.0,57948.0,333.0,1377.0,5360.0,709.0,4578.0,13854.0
111年8月,15253.0,782045.0,1278622.0,4971.0,857010.0,50558.0,409243.0,1144755.0,4349.0,34805.0,95740.0,1517.0,22361.0,61695.0,345.0,1451.0,5663.0,809.0,5194.0,15783.0
111年9月,14896.0,707297.0,1123521.0,4947.0,859904.0,50033.0,408483.0,1137115.0,3903.0,31389.0,88704.0,1466.0,21345.0,57830.0,353.0,1473.0,5994.0,810.0,5241.0,16083.0
111年10月,16013.0,732903.0,1165901.0,5383.0,933054.0,53452.0,432294.0,1210907.0,4722.0,38209.0,101823.0,1646.0,24203.0,71973.0,349.0,1414.0,5715.0,946.0,6036.0,23757.0
111年11月,16815.0,736071.0,1154446.0,5503.0,946053.0,57215.0,466469.0,1302696.0,4468.0,36036.0,98649.0,1845.0,28082.0,86573.0,376.0,1526.0,6047.0,928.0,6005.0,23508.0
111年12月,17776.0,792546.0,1257751.0,6214.0,1064042.0,63326.0,506372.0,1424464.0,5249.0,41953.0,113636.0,2237.0,35291.0,115323.0,389.0,1572.0,6819.0,1057.0,6802.0,26458.0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
