統計期,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
98年 5月,21259,2367,1844,1743,2781,1695,3852,498,435,342,1297,491,485,329,857,244,410,110,284,476,488,45,0,108,78
98年 6月,20210,1789,1743,1771,2751,1448,3642,514,416,331,1266,469,551,358,843,262,428,85,309,540,462,31,0,104,97
98年 7月,21283,2124,1973,1826,2759,1507,3741,659,502,358,1294,440,584,297,815,223,426,108,309,582,495,33,0,135,93
98年 8月,19383,1970,1663,1634,2511,1533,3233,598,473,372,1235,438,485,306,708,241,412,82,307,512,393,48,0,138,91
98年 9月,20620,2127,1516,1792,2989,1546,3655,520,523,394,1249,444,535,311,823,195,413,83,272,611,380,45,0,89,108
98年 10月,21823,1991,1560,1853,3270,1785,3977,460,567,419,1374,497,574,449,926,217,426,64,281,522,356,42,0,118,95
98年 11月,21525,1802,1904,1825,3294,1618,3788,507,528,425,1422,514,636,427,748,217,424,61,275,578,250,87,0,107,88
98年 12月,22880,2223,1751,1942,3355,1808,4355,469,565,425,1459,519,579,378,722,272,465,72,291,656,273,45,0,125,131
99年 1月,23995,2006,2094,1905,4714,1954,3704,566,546,417,1444,459,569,391,1042,305,354,77,230,583,318,57,0,145,115
99年 2月,19635,1699,1423,1361,3724,1695,3178,435,422,344,1165,392,480,347,993,255,402,34,203,465,375,28,0,105,110
99年 3月,23781,2256,1798,1928,4648,1966,3683,478,539,417,1356,482,602,380,1035,199,388,74,270,574,448,43,0,84,133
99年 4月,22870,2116,2029,1709,4361,1787,3488,516,466,381,1367,430,581,389,1179,193,394,51,218,547,412,31,0,101,124
99年 5月,24435,1978,2164,1882,4696,1812,3915,582,533,365,1391,511,634,431,1208,241,420,83,280,626,411,36,0,122,114
99年 6月,23399,1771,1997,1894,4578,1718,3473,507,579,440,1426,503,617,389,1089,273,442,96,218,657,431,41,0,150,110
99年 7月,25691,2219,2236,2054,5048,1813,3688,631,589,512,1471,565,636,416,1199,244,499,120,323,650,415,52,0,179,132
99年 8月,25401,2327,2319,2142,4951,1776,3706,647,611,496,1315,503,635,362,1147,266,485,105,295,664,323,38,0,139,149
99年 9月,24707,2131,2065,2195,4984,1670,3630,573,583,433,1325,528,629,392,1016,245,425,106,292,706,401,68,0,173,137
99年 10月,25365,1889,2169,2064,5497,1788,3855,535,615,431,1435,514,702,404,1051,235,372,105,280,739,391,61,0,112,121
99年 11月,25769,2101,2269,2218,5471,1683,3958,547,652,472,1378,500,686,475,1105,256,379,78,266,701,278,41,0,99,156
99年 12月,27486,2388,2462,2452,5571,1635,4085,623,670,490,1509,594,707,528,1306,252,471,100,326,760,232,75,0,110,140
100年 1月,26262,1774,2382,2320,5474,1854,3987,549,591,514,1446,530,664,487,1245,222,482,91,306,680,308,56,1,147,152
100年 2月,21490,1665,1758,1891,4087,1444,3424,489,483,452,1241,463,595,425,1132,158,384,69,207,505,348,37,0,119,114
100年 3月,25147,2073,2293,2242,5028,1830,3822,508,641,486,1262,483,687,465,1087,223,377,72,242,632,375,38,0,127,154
100年 4月,25070,2069,2045,2226,4916,1874,3832,528,621,446,1366,477,606,471,1182,241,426,103,263,667,384,51,0,135,141
100年 5月,26109,2310,2068,2363,5305,1801,3925,579,596,470,1414,513,672,473,1240,217,443,114,288,579,395,52,0,155,137
100年 6月,27074,2450,2187,2431,5277,1812,3946,652,732,485,1440,630,717,529,1296,282,464,159,299,527,420,67,2,157,113
100年 7月,26993,2288,2375,2586,5285,1758,3638,735,755,465,1484,624,637,480,1192,275,533,135,332,551,434,66,2,192,171
