,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
3549,109年02月17日 17時30分34秒,新竹縣新豐鄉中崙村5鄰198-3號旁,死亡1;受傷1,普通重型-機車;自用-小客車,121.009783,24.897133
3550,109年02月17日 17時45分00秒,臺中市神岡區新庄里和睦路一段888號前0.0公尺,死亡1;受傷0,自用-小客車,120.641658,24.286763
3551,109年02月17日 18時34分45秒,花蓮縣新城鄉台9線 174公里700.0公尺處北側向外側,死亡1;受傷0,電動自行車-慢車;自用-小客車,121.622419,24.107646
3552,109年02月17日 19時55分00秒,新北市三峽區麻園路35之11號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,121.363383,24.91885
3553,109年02月18日 03時48分00秒,臺東縣太麻里鄉台9線 377公里400.0公尺處南側向外側,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,121.045901,22.688899
3554,109年02月18日 10時37分00秒,花蓮縣玉里鎮源城里客城55號往南約50公尺處交岔路口,死亡1;受傷0,普通重型-機車;自用-小客車,121.311729,23.313432
3555,109年02月18日 14時50分47秒,花蓮縣瑞穗鄉台9線 261公里500.0公尺處南側向機車優先道,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.353384,23.455916
3556,109年02月18日 23時05分00秒,桃園市楊梅區民富路2段附近 / 桃園市楊梅區民富路2段附近,死亡2;受傷0,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人,121.107498,24.926314
3557,109年02月18日 23時45分00秒,屏東縣屏東市廣勝路北側 / 屏東縣屏東市古松巷,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),120.481392,22.689629
3558,109年02月19日 16時15分29秒,臺南市下營區仁里里環營南路2段口 / 臺南市下營區仁里街,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.258159,23.224577
3559,109年02月19日 20時20分00秒,高雄市岡山區嘉峰路2號前0.0公尺,死亡1;受傷1,自用-小客車;行人-人;乘客-人,120.309769,22.825539
3560,109年02月20日 02時52分00秒,臺中市烏日區湖日里公園路新盛巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,120.61864,24.103373
3561,109年02月20日 03時12分00秒,屏東縣屏東市忠孝路前0.0公尺,死亡1;受傷0,普通重型-機車,120.493165,22.706139
3562,109年02月20日 04時44分00秒,宜蘭縣宜蘭市中山路5段口 / 宜蘭縣宜蘭市環市東路3段口,死亡1;受傷0,自用-小客車;普通重型-機車,121.759145,24.778216
3563,109年02月20日 04時48分34秒,臺南市歸仁區六甲里凱旋路3段551號前0.0公尺,死亡1;受傷0,普通重型-機車,120.270262,22.948743
3564,109年02月20日 08時30分00秒,屏東縣枋山鄉台1線452.7k北上車道(枋山大橋北端),死亡1;受傷0,普通重型-機車;自用-小客車,120.653593,22.257372
3565,109年02月20日 12時20分00秒,宜蘭縣頭城鎮三和路540號前0.0公尺附近,死亡1;受傷2,普通重型-機車;普通重型-機車;大型重型2(250-550C.C.)-機車,121.802695,24.832248
3566,109年02月20日 14時30分00秒,臺中市清水區高北里西濱快速道路前0.0公尺,死亡1;受傷0,自用-大貨車;大型重型2(250-550C.C.)-機車,120.542428,24.290763
3567,109年02月20日 17時25分00秒,雲林縣大埤鄉大埤路398號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.452875,23.65676
3568,109年02月21日 06時15分00秒,新北市新莊區中正路前0.0公尺,死亡1;受傷0,普通重型-機車,121.452619,25.036297
3569,109年02月21日 07時15分00秒,臺北市南港區忠孝東路6段84號前0.0公尺,死亡1;受傷0,普通重型-機車,121.584104,25.047024
3570,109年02月21日 15時05分00秒,臺東縣東河鄉台11線 148公里300.0公尺處南側,死亡1;受傷0,普通重型-機車,121.201632,22.861125
3571,109年02月21日 20時27分00秒,高雄市三民區九如二路 / 高雄市三民區山東街,死亡1;受傷1,普通重型-機車;普通重型-機車,120.3114,22.64077
3572,109年02月21日 21時00分00秒,基隆市仁愛區港西街火車站北站,死亡1;受傷0,行人-人;民營客運-大客車,121.738296,25.131707
3573,109年02月21日 22時33分00秒,桃園市龜山區振興路396號前0.0公尺,死亡1;受傷0,普通重型-機車,121.35652,25.010873
3574,109年02月22日 02時32分16秒,高雄市田寮區國道3號 371公里100.0公尺處北側向中線,死亡1;受傷4,自用-小客車;自用-小客車;其他人-人;營業用-大貨車;自用-小客車;乘客-人;乘客-人,120.43732,22.795617
3575,109年02月22日 02時56分00秒,屏東縣內埔鄉大新村大新路462號前,死亡1;受傷0,普通重型-機車,120.58615,22.669025
3576,109年02月22日 04時36分00秒,臺中市東區進化路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.694425,24.148235
3577,109年02月22日 11時30分00秒,嘉義市西區育英里國華街 / 嘉義市西區育英里永安街,死亡1;受傷1,行人-人;普通重型-機車,120.449423,23.470789
3578,109年02月22日 15時26分25秒,桃園市蘆竹區海山路1段235號前0.0公尺,死亡1;受傷0,行人-人;營業用-曳引車,121.264745,25.095038
3579,109年02月22日 17時41分18秒,宜蘭縣冬山鄉冬山路2段西側 / 宜蘭縣冬山鄉吉祥路南側,死亡1;受傷0,自用-小客車;普通重型-機車,121.783614,24.648988
3580,109年02月22日 19時48分00秒,臺東縣成功鎮台11線 109公里600.0公尺處南側向外側,死亡1;受傷0,普通重型-機車,121.397387,23.129028
3581,109年02月23日 00時23分00秒,臺中市大安區頂安里中山北路289號前0.0公尺,死亡1;受傷0,普通重型-機車,120.598221,24.390936
3582,109年02月23日 13時28分00秒,臺北市內湖區內湖路1段 / 臺北市內湖區內湖路1段,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,121.563447,25.083408
3583,109年02月23日 13時40分00秒,苗栗縣三灣鄉台3線 103公里南側向外側,死亡1;受傷0,普通重型-機車,120.945122,24.618257
3584,109年02月23日 22時37分00秒,新北市萬里區瑪鋉路 / 新北市萬里區台2線,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車,121.68809,25.182107
3585,109年02月24日 01時56分00秒,彰化縣永靖鄉瑚璉村東興路260弄20號前0.0公尺,死亡1;受傷0,普通重型-機車,120.545957,23.931827
3586,109年02月24日 02時10分00秒,高雄市茄萣區白砂路418號前0.0公尺,死亡1;受傷0,普通重型-機車,120.1857,22.91516
3587,109年02月24日 11時36分00秒,嘉義縣中埔鄉沄水村台三線297公里900公尺處(幽谷橋),死亡1;受傷0,普通重型-機車,120.546924,23.382683
3588,109年02月24日 14時50分13秒,屏東縣內埔鄉東勢村科大路一段168號,死亡1;受傷0,普通重型-機車,120.586917,22.635813
3589,109年02月24日 16時38分00秒,苗栗縣頭屋鄉苗22線6公里處,死亡1;受傷0,拼裝車-其他車,120.905991,24.562938
3590,109年02月25日 04時23分32秒,臺中市烏日區國道1號 187公里200.0公尺處南側向外側,死亡1;受傷1,營業用-大貨車;營業用-全聯結車;乘客-人,120.592947,24.115806
3591,109年02月25日 07時45分00秒,臺東縣臺東市漢陽北路西側 / 臺東縣臺東市衡陽路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,121.134942,22.746403
3592,109年02月25日 08時18分00秒,臺中市烏日區湖日里台74線快速公路前0.0公尺,死亡1;受傷2,遊覽車-大客車;自用-小客車;營業用-曳引車;乘客-人;乘客-人,120.618293,24.10898
