,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
5900,110年06月13日 12時29分00秒,花蓮縣花蓮市中興路西側 / 花蓮縣花蓮市忠義二街口,死亡1;受傷1,普通重型-機車;普通重型-機車,121.632397,23.992464
5901,110年06月14日 00時01分47秒,宜蘭縣宜蘭市東港路2段26號前0.0公尺,死亡1;受傷0,普通重型-機車,121.770709,24.750835
5902,110年06月14日 10時50分00秒,臺南市東區崇善路口 / 臺南市東區崇德十五街口,死亡1;受傷0,自用-小客車;普通重型-機車,120.230506,22.970421
5903,110年06月14日 11時28分00秒,新北市板橋區縣民大道1段口 / 新北市板橋區民權路口,死亡1;受傷1,自用-小客車;租賃車-小客車;腳踏自行車-慢車,121.458208,25.007392
5904,110年06月14日 19時24分00秒,臺中市龍井區福田里臨港東路二段 / 臺中市龍井區福田里臨港東路二段,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.516815,24.197798
5905,110年06月14日 20時03分00秒,嘉義市西區重興里自由路 / 嘉義市西區重興里友忠路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.441117,23.48527
5906,110年06月15日 04時56分00秒,臺南市鹽水區歡雅里南6線與南5線路口,死亡1;受傷0,普通重型-機車,120.240279,23.291762
5907,110年06月15日 06時23分00秒,彰化縣永靖鄉崙子村至賢巷前0.0公尺,死亡1;受傷0,腳踏自行車-慢車,120.570138,23.934193
5908,110年06月15日 13時34分00秒,臺南市佳里區台19線 119公里北側向機車優先道,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.18903,23.197639
5909,110年06月15日 13時40分00秒,嘉義縣梅山鄉瑞峰村162甲線36公里500公尺處,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,120.671455,23.553719
5910,110年06月15日 16時50分00秒,嘉義縣溪口鄉坪頂村民族東路坪頂31分10號電桿處,死亡1;受傷0,自用-小客車,120.407045,23.601033
5911,110年06月15日 17時09分00秒,高雄市路竹區環球路476號前0.0公尺,死亡1;受傷0,普通重型-機車;租賃車-小客車,120.258253,22.881387
5912,110年06月15日 23時21分55秒,桃園市中壢區山東路903巷B2035EA14桿旁,死亡1;受傷0,普通重型-機車;自用-小客車,121.171304,25.014825
5913,110年06月16日 07時18分00秒,桃園市龍潭區中原路2段口 / 桃園市龍潭區六槓寮路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.192276,24.844749
5914,110年06月16日 19時40分37秒,屏東縣崁頂鄉崁頂村中興路43號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.509943,22.512228
5915,110年06月16日 20時02分00秒,新北市永和區環河西路2段口 / 新北市永和區保生路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.499881,25.008991
5916,110年06月16日 22時21分00秒,臺中市西區忠明里臺灣大道二段407號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.663356,24.154769
5917,110年06月17日 11時07分22秒,南投縣名間鄉出林虎路1段636號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.653992,23.851863
5918,110年06月17日 11時13分00秒,高雄市內門區182縣道29.6公里號前0.0公尺,死亡1;受傷0,自用-小客車,120.42705,22.929094
5919,110年06月17日 16時17分00秒,新竹市北區中正路附近 / 新竹市北區境福街附近,死亡1;受傷1,自用-小客車;行人-人;行人-人,120.961044,24.815574
5920,110年06月17日 18時31分00秒,臺中市后里區舊社里舊社路前0.0公尺,死亡1;受傷0,普通重型-機車,120.689927,24.2905
5921,110年06月18日 09時06分14秒,花蓮縣鳳林鎮平善路口 / 花蓮縣鳳林鎮民國街口,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人,121.464825,23.773309
5922,110年06月18日 10時00分35秒,新竹縣湖口鄉民生街363號前0.0公尺,死亡1;受傷0,普通重型-機車,121.054649,24.904832
5923,110年06月18日 10時49分00秒,屏東縣東港鎮中正路二段與沿海路路口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.46748,22.480901
5924,110年06月18日 15時07分00秒,臺北市中山區民權東路2段196號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車;自用-小客車,121.536079,25.062325
5925,110年06月19日 02時20分00秒,高雄市三民區國道1號 363公里400.0公尺處南側向路肩,死亡1;受傷1,自用-小客車;乘客-人,120.333205,22.656458
5926,110年06月19日 03時42分00秒,臺北市士林區百齡橋前0.0公尺,死亡1;受傷0,自用-小客車,121.509007,25.086686
5927,110年06月19日 04時30分00秒,臺東縣卑南鄉泰安村泰安路425號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.068905,22.798976
5928,110年06月19日 05時03分00秒,新北市土城區新北市土城區承天路053608號燈桿處,死亡1;受傷1,普通重型-機車;乘客-人,121.436049,24.966143
5929,110年06月19日 10時40分52秒,新竹縣峨眉鄉台3線 89公里400.0公尺處,死亡1;受傷0,大型重型2(250-550C.C.)-機車;自用-小貨車(含客、貨兩用);民營客運-大客車,120.993842,24.70082
5930,110年06月19日 13時02分00秒,新北市鶯歌區鶯桃路 / 新北市鶯歌區永吉街,死亡1;受傷1,自用-小客車;電動自行車-慢車;乘客-人,121.342275,24.951636
5931,110年06月19日 18時45分37秒,宜蘭縣宜蘭市黎明二路口 / 宜蘭縣宜蘭市黎明二路口,死亡1;受傷0,自用-小客車;普通重型-機車,121.773713,24.748286
5932,110年06月20日 14時55分00秒,彰化縣福興鄉西勢村福建路126號前0.0公尺,死亡1;受傷0,電動自行車-慢車,120.434404,24.039568
5933,110年06月20日 16時43分00秒,新北市三重區河邊北街口 / 新北市三重區河邊北街口,死亡1;受傷0,自用-小客車;普通重型-機車,121.503661,25.068101
5934,110年06月20日 18時00分00秒,臺中市北屯區松強里松竹路 / 臺中市北屯區松強里松和街,死亡1;受傷1,普通重型-機車;普通重型-機車,120.693282,24.182942
5935,110年06月21日 17時39分14秒,臺南市鹽水區岸內里蔦松路(路燈編號591267)前,死亡1;受傷0,腳踏自行車-慢車,120.272135,23.333636
5936,110年06月21日 21時17分00秒,桃園市大園區三民路2段810-1號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.260969,25.069873
5937,110年06月22日 02時50分00秒,屏東縣九如鄉九如路一段69之8號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.488595,22.722886
5938,110年06月22日 05時16分00秒,臺北市大同區民生西路 / 臺北市大同區環河北路1段,死亡1;受傷0,自用-小客車;行人-人,121.508185,25.056895
5939,110年06月22日 06時45分00秒,屏東縣枋山鄉台26線 6公里900.0公尺處北側向路肩,死亡1;受傷0,自用-小客車,120.700097,22.153352
5940,110年06月22日 09時01分00秒,桃園市中壢區東園路附近 / 桃園市中壢區吉林路附近,死亡1;受傷0,電動自行車-慢車;營業用-曳引車,121.239306,24.979223
5941,110年06月22日 19時08分34秒,屏東縣萬丹鄉竹林村竹林路28號,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.510417,22.596241
5942,110年06月22日 20時55分00秒,高雄市鼓山區中華一路 / 高雄市鼓山區美術北三路,死亡1;受傷0,自用-小客車;普通重型-機車,120.292308,22.662519
5943,110年06月23日 06時44分22秒,臺南市柳營區八翁里南69線3.4公里處,死亡1;受傷1,自用-小客車;自用-小客車,120.291292,23.271276
5944,110年06月23日 14時34分00秒,新竹市東區東大路口 / 新竹市東區北大路,死亡1;受傷0,自用-小客車;大型重型1(550C.C.以上)-機車;自用-小貨車(含客、貨兩用),120.969889,24.810966
5945,110年06月23日 17時48分00秒,苗栗縣頭份市興隆里苗２鄉道興國幹95D9266EA03號電桿前,死亡1;受傷0,普通重型-機車;自用-小客車,120.940109,24.704443
5946,110年06月23日 22時28分00秒,臺北市北投區洲美街267號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,121.499093,25.106776
5947,110年06月24日 18時27分50秒,嘉義縣水上鄉義興村村里道路(燈桿編號:127887),死亡2;受傷0,普通重型-機車;大型重型2(250-550C.C.)-機車,120.416677,23.420924
5948,110年06月25日 00時14分00秒,桃園市觀音區廣大路542巷前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.155247,25.032096
5949,110年06月25日 02時36分00秒,高雄市燕巢區深興路2054路燈號前0.0公尺東側,死亡1;受傷1,普通重型-機車;普通重型-機車,120.393401,22.77301
5950,110年06月25日 04時01分00秒,新北市瑞芳區台2線 77公里9.0公尺處東側,死亡1;受傷0,自用-小客車,121.842028,25.122113
5951,110年06月25日 15時08分00秒,高雄市前鎮區擴建路 / 高雄市前鎮區建基街,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.297551,22.595945
5952,110年06月25日 15時40分59秒,苗栗縣銅鑼鄉國道1號 138公里南側向外側,死亡1;受傷0,營業用-大貨車;自用-小客車;自用-小客車,120.787798,24.461485
5953,110年06月26日 05時59分00秒,臺中市新社區協中街前0.0公尺,死亡1;受傷0,普通重型-機車,120.813351,24.188069
5954,110年06月26日 09時06分00秒,桃園市楊梅區三湖里楊湖路1段818號前150.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車,121.121605,24.911434
5955,110年06月26日 16時10分00秒,高雄市路竹區大公路161號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.2276,22.861
5956,110年06月26日 20時56分00秒,彰化縣埔心鄉仁里村王厝路288號前0.0公尺前,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.537821,23.929613
5957,110年06月27日 04時27分00秒,臺東縣關山鎮海端西庄1號,死亡1;受傷0,自用-小客車,121.176354,23.085211
5958,110年06月27日 07時52分00秒,雲林縣土庫鎮土庫鎮後埔里雲158甲公路連興傢俱行前路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.368437,23.69801
5959,110年06月27日 08時53分23秒,南投縣草屯鎮中山里中興路38號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.681599,23.974379
5960,110年06月27日 11時02分00秒,臺南市柳營區人和里長榮路四段、無名道路-路口(柳營區570567路燈),死亡1;受傷0,普通重型-機車;自用-小客車,120.293901,23.287475
5961,110年06月27日 14時37分32秒,屏東縣萬丹鄉新庄村中興路1段口 / 屏東縣萬丹鄉新庄村新社路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.476874,22.568447
5962,110年06月27日 22時20分00秒,彰化縣彰化市國道1號 196公里北側向內側,死亡2;受傷3,自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人,120.553433,24.099015
5963,110年06月27日 23時24分00秒,高雄市仁武區國道1號 358公里500.0公尺處北側向輔助,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;計程車-小客車;自用-小貨車(含客、貨兩用);營業用-半聯結車;自用-小客車,120.328824,22.705846
5964,110年06月28日 12時10分00秒,雲林縣莿桐鄉中山路與雲156線道口,死亡1;受傷0,普通重型-機車;自用-大貨車,120.496117,23.761193
5965,110年06月28日 14時08分00秒,臺中市大肚區新興里沙田路二段222號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.549464,24.140446
5966,110年06月28日 17時19分00秒,臺南市佳里區海澄里,死亡1;受傷1,普通重型-機車;自用-小客車,120.161556,23.183682
5967,110年06月28日 20時30分24秒,桃園市龍潭區中豐路737號前0.0公尺附近,死亡1;受傷0,行人-人;自用-小客車,121.212684,24.889726
5968,110年06月28日 21時42分00秒,雲林縣水林鄉大溝村164公路(水林路燈090243號)對面,死亡1;受傷0,普通重型-機車;自用-小客車,120.215987,23.573532
5969,110年06月29日 08時11分00秒,嘉義市東區民族里民族路 / 嘉義市東區民族里共和路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.456303,23.476602
5970,110年06月29日 14時18分07秒,臺南市西港區台19線 127公里300.0公尺處附近向未加蓋水溝,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.199426,23.133966
5971,110年06月30日 00時42分00秒,臺中市南屯區國道1號 181公里300.0公尺處北側向內側,死亡1;受傷0,普通重型-機車;自用-小客車,120.617928,24.139493
5972,110年06月30日 02時54分43秒,臺北市內湖區國道1號 18公里700.0公尺處南側向路肩,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-小客車,121.58923,25.065516
5973,110年06月30日 05時24分00秒,基隆市安樂區基金三路71-1號前0.0公尺,死亡1;受傷2,行人-人;普通重型-機車;乘客-人,121.697248,25.15444
5974,110年06月30日 14時03分00秒,桃園市龜山區文化三路口 / 桃園市龜山區龜山一路口,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-大貨車,121.361,25.064227
5975,110年06月30日 14時26分20秒,臺南市永康區中正北路713號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),120.262097,23.046378
5976,110年06月30日 15時23分48秒,雲林縣口湖鄉成龍村台17線與雲131公路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.167604,23.557308
5977,110年06月30日 17時03分00秒,雲林縣土庫鎮後埔里雲158公路20公里處路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.369674,23.704837
5978,110年06月30日 17時41分00秒,彰化縣北斗鎮大新里四海路2段 / 彰化縣北斗鎮大新里斗中路,死亡1;受傷0,普通重型-機車,120.548923,23.871435
5979,110年06月30日 18時10分00秒,高雄市鳳山區中山東路227號前0.0公尺,死亡1;受傷2,普通輕型-機車;自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車,120.372597,22.625055
5980,110年07月01日 03時10分00秒,臺東縣臺東市台11線 174公里,死亡2;受傷0,自用-小客車;乘客-人,121.070355,22.710245
5981,110年07月01日 06時52分00秒,臺中市清水區中華路口 / 臺中市清水區中山路口,死亡1;受傷0,普通重型-機車;自用-小客車,120.575785,24.278105
5982,110年07月01日 07時02分00秒,臺中市南屯區寶山里向上路五段前0.0公尺,死亡1;受傷1,普通重型-機車;營業用-大貨車;普通重型-機車,120.595033,24.156897
5983,110年07月01日 08時25分00秒,新北市中和區和城路1段 / 新北市中和區連城路,死亡1;受傷0,其他特種車-特種車;普通重型-機車;乘客-人;乘客-人,121.485198,24.993454
5984,110年07月01日 09時09分00秒,臺中市西屯區協和里五權西路 / 臺中市西屯區協和里工業區二十八路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.59815,24.16308
5985,110年07月01日 14時05分16秒,苗栗縣獅潭鄉台六線30公里處,死亡1;受傷0,普通輕型-機車,120.877771,24.467961
5986,110年07月01日 19時10分00秒,宜蘭縣五結鄉孝威路南側 / 宜蘭縣五結鄉五結路2段,死亡1;受傷0,自用-小客車;普通重型-機車,121.808954,24.687057
5987,110年07月01日 19時14分31秒,臺南市永康區大灣路942巷371弄92號前,死亡1;受傷1,普通重型-機車;行人-人,120.253433,23.00777
5988,110年07月02日 18時30分00秒,彰化縣芬園鄉芬園村縣芬路183號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車,120.632992,24.009504
5989,110年07月03日 04時53分00秒,新北市板橋區南雅南路2段 / 新北市板橋區南雅南路2段,死亡1;受傷0,行人-人;自用-小客車,121.452231,24.996701
5990,110年07月03日 09時09分00秒,桃園市大溪區員東路289號旁(電桿三塊分線20支7),死亡1;受傷0,普通重型-機車,121.257671,24.885893
5991,110年07月03日 09時41分00秒,屏東縣屏東市復興路南側 / 屏東縣屏東市棒球路東側,死亡1;受傷0,普通重型-機車;自用-小客車,120.486907,22.657715
5992,110年07月03日 14時47分30秒,南投縣草屯鎮碧洲里碧興路一段,死亡1;受傷0,自用-小客車,120.65648,23.959664
5993,110年07月03日 17時20分00秒,臺南市南區永成路2段600號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.195583,22.954673
5994,110年07月04日 02時23分00秒,屏東縣新園鄉興安路328號前,死亡2;受傷0,普通重型-機車;普通重型-機車,120.459991,22.537062
5995,110年07月04日 04時15分00秒,臺中市中區繼光里民族路 / 臺中市中區繼光里繼光街,死亡1;受傷0,警備車-特種車;行人-人,120.681521,24.137928
5996,110年07月04日 04時30分00秒,苗栗縣銅鑼鄉苗119線23.5KM(興隆村16號),死亡1;受傷0,普通重型-機車,120.815418,24.450253
5997,110年07月04日 08時54分00秒,彰化縣和美鎮犁盛里彰新路2段 / 彰化縣和美鎮犁盛里東谷路,死亡1;受傷1,電動自行車-慢車;普通重型-機車,120.535343,24.098581
5998,110年07月04日 11時13分00秒,臺中市后里區墩東里成功路 / 臺中市后里區墩東里文明路,死亡1;受傷0,自用-小客車;普通重型-機車,120.717639,24.306852
5999,110年07月04日 12時50分00秒,屏東縣林邊鄉中山路281-1號前0.0公尺,死亡1;受傷0,普通輕型-機車;普通重型-機車,120.514172,22.435116
6000,110年07月04日 16時05分00秒,新竹市香山區台61線與中華路五段208巷口,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.916702,24.785565
6001,110年07月04日 23時07分00秒,屏東縣長治鄉中興路635號,死亡1;受傷0,普通重型-機車,120.548806,22.694977
6002,110年07月05日 07時54分00秒,新北市坪林區新北市坪林區北宜公路54.1公里處,死亡1;受傷0,大型重型2(250-550C.C.)-機車,121.720231,24.901738
6003,110年07月05日 13時19分00秒,臺南市永康區中山北路699號,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.275278,23.030751
6004,110年07月05日 14時40分00秒,臺中市太平區聖和里長龍路一段中山巷158號前0.0公尺,死亡1;受傷0,普通重型-機車,120.753043,24.118547
6005,110年07月05日 15時39分35秒,高雄市田寮區國道3號 370公里100.0公尺處南側向外側,死亡1;受傷1,自用-小客車;自用-大貨車;乘客-人,120.381792,22.851111
6006,110年07月05日 17時03分00秒,彰化縣二林鎮華崙里二溪路7段 / 彰化縣二林鎮華崙里二溪路7段,死亡1;受傷0,電動自行車-慢車;自用-小貨車(含客、貨兩用),120.44465,23.954564
6007,110年07月05日 19時48分00秒,屏東縣萬丹鄉維新路西側 / 屏東縣萬丹鄉頂本路,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.498198,22.60495
6008,110年07月05日 22時58分00秒,臺北市文山區羅斯福路6段23號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.539819,24.999989
6009,110年07月06日 07時34分00秒,臺中市霧峰區丁台里丁台路 / 臺中市霧峰區丁台里丁台路,死亡1;受傷1,電動自行車-慢車;大型重型1(550C.C.以上)-機車,120.672783,24.044752
6010,110年07月06日 09時16分33秒,屏東縣內埔鄉北寧路二段1巷與樹寧巷口,死亡1;受傷0,普通重型-機車,120.559854,22.627195
6011,110年07月06日 10時19分00秒,臺中市沙鹿區清泉里中清路六段 / 臺中市沙鹿區清泉里東大路二段,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.614963,24.24355
6012,110年07月06日 19時32分00秒,臺北市大安區忠孝東路3段224號前0.0公尺,死亡1;受傷1,計程車-小客車;普通重型-機車;普通重型-機車;普通重型-機車,121.540396,25.041589
6013,110年07月07日 07時10分00秒,屏東縣屏東市忠孝路口 / 屏東縣屏東市廣東路,死亡1;受傷0,普通重型-機車;自用-大貨車,120.489077,22.687793
6014,110年07月07日 12時43分00秒,新北市八里區新北市八里區長道坑道路電桿399492,死亡1;受傷0,普通重型-機車,121.396111,25.109071
6015,110年07月07日 12時55分00秒,高雄市鳳山區五甲一路 / 高雄市鳳山區臨海路,死亡1;受傷0,普通重型-機車;自用-小客車,120.3453,22.60463
6016,110年07月07日 16時36分00秒,臺中市北區邱厝里育德路2號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.680462,24.157328
6017,110年07月07日 17時02分00秒,高雄市梓官區赤崁東路90巷赤東0202路燈號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.250617,22.737009
6018,110年07月07日 17時10分00秒,高雄市小港區港美街 / 高雄市小港區小港路,死亡1;受傷0,自用-小客車;行人-人,120.340075,22.565256
6019,110年07月08日 04時55分00秒,基隆市暖暖區基隆市暖暖區八堵路八堵隧道口往市區方向,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用),121.733213,25.110002
6020,110年07月08日 08時40分50秒,臺南市安南區安和路五段與安和路五段336巷,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,120.216101,23.069372
6021,110年07月08日 09時15分13秒,桃園市楊梅區台1線 51公里990.0公尺處南側向內側,死亡1;受傷0,普通重型-機車;自用-小客車,121.109725,24.895519
6022,110年07月08日 16時40分00秒,新竹縣竹北市鳳岡路2段口 / 新竹縣竹北市鳳岡路2段口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.976652,24.859527
6023,110年07月08日 17時27分00秒,屏東縣南州鄉七塊村七塊路6號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.502131,22.478842
6024,110年07月08日 19時26分00秒,臺東縣關山鎮台9線 320公里900.0公尺處北側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.152701,23.018217
6025,110年07月09日 10時00分30秒,屏東縣佳冬鄉中山路南側 / 屏東縣佳冬鄉大同路西側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.563086,22.428113
6026,110年07月09日 21時04分00秒,臺北市士林區延平北路6段 / 臺北市士林區通河西街2段,死亡1;受傷0,計程車-小客車;普通重型-機車,121.497967,25.093992
6027,110年07月10日 06時58分00秒,桃園市中壢區環西路2段101號前0.0公尺附近,死亡1;受傷0,普通重型-機車,121.209483,24.964076
6028,110年07月10日 15時53分00秒,桃園市桃園區三民路二段口 / 桃園市桃園區中央街口,死亡1;受傷0,普通重型-機車;自用-小客車,121.315512,25.001108
6029,110年07月10日 17時08分22秒,雲林縣崙背鄉南陽村武昌巷路燈電桿211369號前,死亡1;受傷0,自用-小客車;普通重型-機車,120.345302,23.761058
6030,110年07月10日 19時25分00秒,彰化縣埔心鄉義民村員鹿路2段67號前0.0公尺前,死亡1;受傷0,自用-小客車;普通重型-機車,120.549625,23.952396
6031,110年07月10日 21時21分00秒,臺南市後壁區長短樹里南85線與後廓外環道口,死亡1;受傷0,普通輕型-機車;自用-小客車,120.333313,23.372045
6032,110年07月11日 09時04分00秒,桃園市龜山區文化一路41號前0.0公尺附近,死亡1;受傷1,電動自行車-慢車;營業用-曳引車;乘客-人,121.370524,25.060931
6033,110年07月11日 12時10分00秒,雲林縣四湖鄉湖寮村下寮產業道路,死亡1;受傷0,自用-小客車;普通重型-機車,120.224295,23.637832
6034,110年07月11日 12時37分12秒,宜蘭縣宜蘭市慈航路口 / 宜蘭縣宜蘭市雪峰路口,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,121.741353,24.768378
6035,110年07月11日 13時37分00秒,彰化縣彰化市富貴里中正路2段 / 彰化縣彰化市富貴里中華路,死亡1;受傷0,普通重型-機車;自用-小客車,120.537008,24.077039
6036,110年07月12日 07時22分00秒,彰化縣彰化市國聖里國聖路175弄前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.572646,24.104538
6037,110年07月12日 08時30分00秒,臺中市后里區公館里安眉路 / 臺中市后里區公館里福安路,死亡1;受傷1,普通重型-機車;營業用-小貨車(含客、貨兩用),120.740993,24.329555
6038,110年07月12日 14時33分00秒,新北市板橋區新北市板橋區堤外機車專用道路2K+500,死亡1;受傷0,普通重型-機車,121.46982,25.036062
6039,110年07月12日 21時24分00秒,新北市五股區新北市五股區臺64線道路五股二匝道往五股方向轉彎處,死亡1;受傷0,營業用-曳引車,121.398394,25.141247
6040,110年07月13日 06時37分00秒,屏東縣新埤鄉新埤村萬興路185號附近,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用),120.559685,22.469845
6041,110年07月13日 08時08分00秒,屏東縣屏東市自由路與口 / 屏東縣屏東市迪化一街口口,死亡1;受傷0,電動自行車-慢車;自用-小客車;自用-小客車,120.478683,22.681779
6042,110年07月13日 08時15分00秒,嘉義縣大埔鄉和平村台3線335公里處,死亡1;受傷0,大型重型1(550C.C.以上)-機車;拼裝車-其他車,120.606243,23.308373
6043,110年07月13日 08時32分00秒,臺中市大雅區西寶里昌平路四段515號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.67084,24.22726
6044,110年07月13日 09時09分00秒,嘉義縣大林鎮西林里民生路與中正路路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.451017,23.600061
6045,110年07月13日 16時42分20秒,宜蘭縣冬山鄉冬山路2段西側 / 宜蘭縣冬山鄉大安路南側,死亡1;受傷0,普通重型-機車;自用-小客車,121.78879,24.634272
6046,110年07月13日 19時18分17秒,臺南市白河區南90 8公里700.0公尺處,死亡1;受傷0,自用-小客車;行人-人,120.440771,23.376413
6047,110年07月13日 19時25分14秒,新竹縣竹東鎮長春路3段261號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車;自用-小客車,121.081812,24.74539
6048,110年07月13日 19時30分00秒,桃園市中壢區圓光路2段口 / 桃園市中壢區大莊路口,死亡1;受傷1,自用-小客車;普通重型-機車,121.172697,25.007993
6049,110年07月14日 05時57分00秒,雲林縣虎尾鎮西屯里大屯334號前,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;乘客-人,120.384376,23.70308
6050,110年07月14日 10時43分00秒,新北市八里區新北市八里區臺64線道路與臺64線道路八里匝道往中華路,死亡1;受傷1,營業用-曳引車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);營業用-曳引車;自用-小貨車(含客、貨兩用);租賃車-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車,121.444316,25.058071
6051,110年07月14日 16時02分58秒,南投縣草屯鎮北投里北投路159號前,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.664849,23.983981
6052,110年07月14日 20時29分00秒,高雄市大寮區鳳林二路 / 高雄市大寮區新厝路,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人;乘客-人,120.411817,22.561158
6053,110年07月15日 07時45分00秒,臺中市大里區健民里仁化工三路 / 臺中市大里區健民里仁化工一路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.725491,24.091424
6054,110年07月16日 06時33分00秒,高雄市橋頭區成功南路新莊1912路燈號前0.0公尺,死亡1;受傷1,普通重型-機車;普通輕型-機車,120.3147,22.74935
6055,110年07月16日 08時40分00秒,屏東縣九如鄉台3線427.5公里與堤防路口,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.489824,22.739527
6056,110年07月16日 09時20分00秒,臺東縣卑南鄉台9線 345公里600.0公尺處,死亡1;受傷1,自用-小客車;自用-大貨車,121.097182,22.864567
6057,110年07月16日 10時38分00秒,新北市貢寮區新北市貢寮區臺2線道路112.3公里處,死亡1;受傷0,普通重型-機車;自用-大貨車,121.944716,25.01589
6058,110年07月16日 13時13分00秒,臺中市霧峰區四德里四德路474-2號前0.0公尺,死亡1;受傷1,自用-小客車;民營公車-大客車,120.675742,24.063981
6059,110年07月16日 22時52分00秒,彰化縣埤頭鄉國道1號 218公里北側向中線,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人,120.490954,23.879498
6060,110年07月17日 10時40分17秒,花蓮縣瑞穗鄉瑞祥村温泉路2段東側 / 花蓮縣瑞穗鄉瑞祥村北六路口,死亡1;受傷2,自用-小貨車(含客、貨兩用);民營客運-大客車;乘客-人,121.353587,23.493791
6061,110年07月18日 06時10分00秒,桃園市平鎮區南平路2段46號前0.0公尺,死亡1;受傷0,普通重型-機車,121.203068,24.921265
6062,110年07月18日 06時17分00秒,新北市淡水區新北市淡水區中正東路2段179號之往台北對面,死亡1;受傷1,普通重型-機車;乘客-人,121.460478,25.143585
