發生時間,發生地點,死亡受傷人數,車種,經度,緯度
102年02月01日 20時37分,屏東縣恆春鎮墾丁里墾丁路台26線36公里800公尺處北向內側車道,死亡2;受傷0,自用-小客車;自用-小客車,,
102年02月01日 23時40分,桃園縣八德市介壽路二段762號,死亡1;受傷3,行人-人;普通重型-機車;行人-人;普通重型-機車,,
102年02月02日 00時14分,雲林縣東勢鄉嘉隆村雲113線公路(船頭26電桿)旁(附近),死亡1;受傷0,自用-小客車;行人-人,,
102年02月02日 03時47分,桃園縣蘆竹鄉山腳村南山北路二段和平街附近(附近),死亡1;受傷1,自用-小客車;自用-小客車,,
102年02月02日 05時09分,臺南市安南區安明路四段166號旁(附近),死亡2;受傷0,自用-小客車;營業用-半聯結車;營業用-半聯結車;自用-小客車,,
102年02月02日 07時11分,花蓮縣光復鄉台9線253公里500公尺處南向內側車道,死亡1;受傷3,自用-小客車;自用-小貨車;自用-小客車;自用-小貨車,,
102年02月02日 10時30分,新北市貢寮區吉林產業道路前0.0公尺數1.1公里(附近),死亡1;受傷1,普通重型-機車;普通重型-機車,,
102年02月02日 18時59分,宜蘭縣蘇澳鎮蘇濱路三段頂寮路(口)台2線160公里00公尺處北向中外車道,死亡1;受傷0,普通重型-機車;自用-大貨車,,
102年02月03日 06時15分,彰化縣埔鹽鄉彰化縣埔鹽鄉埔南村埔菜路42-28號西側45公尺處,死亡1;受傷0,租賃車-小客車,,
102年02月03日 18時37分,嘉義縣民雄鄉秀林村17鄰林子尾66之4號前電桿。(附近),死亡1;受傷0,普通重型-機車,,
102年02月03日 20時35分,高雄市楠梓區國道一號358公里0公尺處北向中線車道,死亡1;受傷1,腳踏自行車-慢車;自用-小客車,,
102年02月03日 23時53分,嘉義縣民雄鄉興中村嘉81線4.6公里處(附近),死亡1;受傷3,自用-小客車;自用-小貨車;自用-小客車;自用-小客車;自用-小客車;自用-小客車,,
102年02月04日 05時20分,臺中市豐原區西勢路西勢四街(口),死亡1;受傷1,普通重型-機車;行人-人,,
102年02月04日 08時20分,苗栗縣後龍鎮溪洲里下溪洲枝21分9電桿附近(附近),死亡1;受傷0,普通重型-機車,,
