,發生時間,發生地點,死亡受傷人數,車種
129,102年01月26日 08時05分,新北市土城區裕民路259巷前0.0公尺數口(附近),死亡1;受傷0,普通重型-機車;營業用-曳引車
130,102年01月26日 08時15分,彰化縣彰化市國道三號197公里100公尺處北向內側路肩車道,死亡1;受傷1,自用-小貨車;自用-小貨車
131,102年01月26日 19時45分,彰化縣彰化市彰化縣彰化市自強南路自強南路288巷口(中正所),死亡1;受傷0,自用-小客車;行人-人;自用-小客車
132,102年01月26日 20時30分,桃園縣新屋鄉大坡村東福路一段572號(桃104線6.4公里)(附近),死亡1;受傷0,自用-小客車
133,102年01月26日 21時00分,彰化縣埔心鄉彰化縣埔心鄉東門村員鹿路2段111號前,死亡1;受傷1,營業用-小貨車;普通重型-機車;自用-小客車
134,102年01月26日 23時36分,雲林縣林內鄉烏塗村瑞和101號(林內09-134號路燈旁)(附近)154線40公里100公尺處東向補助車道,死亡2;受傷1,自用-小客車;自用-小客車;自用-小客車
135,102年01月27日 00時45分,彰化縣和美鎮彰化縣和美鎮鹿和路5段49號前,死亡1;受傷0,自用-小客車;自用-小客車;行人-人
136,102年01月27日 07時20分,新北市中和區中正路前0.0公尺數連城路(口),死亡1;受傷0,自用-小客車;行人-人
137,102年01月27日 08時00分,臺北市中山區南京東路建國北路(口)南京東路 建國北路,死亡1;受傷0,計程車-小客車;普通重型-機車
138,102年01月27日 10時20分,高雄市楠梓區開發路經二路(口),死亡1;受傷1,計程車-小客車;普通重型-機車;普通重型-機車
139,102年01月28日 06時10分,苗栗縣頭屋鄉中山街50巷,死亡1;受傷0,普通重型-機車
140,102年01月28日 11時14分,苗栗縣銅鑼鄉中正路19-20號,死亡1;受傷0,行人-人;自用-小客車
141,102年01月28日 13時35分,臺南市東山區三榮里木柵57-7號前(附近),死亡1;受傷0,普通輕型-機車
142,102年01月28日 14時20分,雲林縣斗南鎮明昌里明昌路與中昌路口(斗南所)(附近),死亡1;受傷0,普通重型-機車;自用-大貨車
143,102年01月28日 18時54分,南投縣草屯鎮中正路權郎巷台3線201公里00公尺處南向外側車道,死亡1;受傷0,普通重型-機車;自用-小客車
144,102年01月28日 20時50分,臺中市梧棲區自立二街路燈33G3863HB30號前(附近),死亡1;受傷0,普通重型-機車
145,102年01月29日 08時50分,臺中市沙鹿區臺灣大道六段339號(附近),死亡1;受傷0,普通重型-機車
146,102年01月29日 09時32分,雲林縣麥寮鄉麥津里泰順與平和路口(附近),死亡1;受傷0,普通重型-機車;自用-小貨車
147,102年01月29日 17時33分,嘉義縣水上鄉粗溪村台1線273公里500公尺處南向中線車道,死亡1;受傷1,自用-小客車;普通重型-機車
148,102年01月29日 17時34分,嘉義縣水上鄉龍德村144號台1線275公里500公尺處南向外側車道,死亡1;受傷1,自用-小客車;自用-小客車;行人-人
149,102年01月29日 21時44分,臺北市中山區林森北路50號,死亡1;受傷0,自用-小客車;普通輕型-機車;民營客運-大客車
150,102年01月30日 02時52分,臺中市北區健行路962號,死亡1;受傷0,自用-小客車;自用-小客車
151,102年01月30日 04時00分,高雄市苓雅區建國一路高速公路東側道路口,死亡1;受傷0,普通重型-機車;自用-小客車
152,102年01月30日 07時30分,臺南市安南區安和路四段與總安街口(附近),死亡1;受傷0,營業用-曳引車;行人-人
153,102年01月30日 07時36分,臺中市大安區東西四路100號,死亡1;受傷0,普通輕型-機車;自用-小客車
154,102年01月30日 10時37分,宜蘭縣頭城鎮青雲路三段台2線134公里600公尺處南向內側車道,死亡1;受傷1,普通重型-機車;營業用-曳引車;普通重型-機車
155,102年01月30日 12時35分,雲林縣林內鄉烏塗村和興15公尺處(電桿水門18之8號前)(附近),死亡1;受傷0,拼裝車-其他車;普通重型-機車
156,102年01月30日 13時21分,新北市汐止區大同路609號前0.0公尺數對向(往基隆方向(附近),死亡1;受傷0,營業用-半聯結車;普通重型-機車;自用-小客車
157,102年01月30日 15時39分,雲林縣褒忠鄉埔姜村太湖路11號前(附近),死亡1;受傷0,普通重型-機車
158,102年01月30日 16時26分,臺中市霧峰區中正路四德路(口),死亡1;受傷0,營業用-大貨車;行人-人
159,102年01月30日 17時35分,高雄市三民區十全一路山東街口,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車
160,102年01月30日 18時30分,臺東縣關山鎮台9線333公里700公尺處北向中線車道,死亡1;受傷0,普通輕型-機車;自用-小貨車
161,102年01月30日 20時30分,高雄市大寮區興隆路三隆路口,死亡1;受傷1,自用-小貨車;自用-小貨車
162,102年01月31日 02時25分,彰化縣秀水鄉國道一號204公里900公尺處北向外側車道,死亡1;受傷0,營業用-大貨車;營業用-大貨車
163,102年01月31日 07時35分,桃園縣大園鄉圳頭村9鄰25之4號古亭(附近),死亡1;受傷1,普通重型-機車;普通重型-機車
164,102年01月31日 08時00分,彰化縣秀水鄉彰化縣秀水鄉安東村中山路258號,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車;自用-小客車
165,102年01月31日 21時55分,苗栗縣造橋鄉龍昇村台1線107公里500公尺處南向外側車道,死亡1;受傷0,自用-小客車
166,102年02月01日 02時17分,桃園縣平鎮市新貴里台66線路西向21.1公里處(附近)台66線21公里100公尺處西向外側車道,死亡1;受傷0,自用-小客車
167,102年02月01日 07時40分,臺南市安定區海寮里臺19線131公里100公尺處北向外側車道,死亡1;受傷0,普通重型-機車
168,102年02月01日 08時10分,高雄市鳳山區瑞興路中山東路口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
169,102年02月01日 10時22分,臺中市北區三民路106巷三民路(口),死亡1;受傷0,自用-小貨車;行人-人
170,102年02月01日 16時12分,臺南市佳里區鎮山里佳南路與鎮山街路口(附近),死亡1;受傷0,普通重型-機車;自用-小客車
171,102年02月01日 19時03分,桃園縣大溪鎮員林路三段342號,死亡1;受傷1,普通輕型-機車;行人-人
172,102年02月01日 20時37分,屏東縣恆春鎮墾丁里墾丁路台26線36公里800公尺處北向內側車道,死亡2;受傷0,自用-小客車;自用-小客車
173,102年02月01日 23時40分,桃園縣八德市介壽路二段762號,死亡1;受傷3,行人-人;普通重型-機車;行人-人;普通重型-機車
174,102年02月02日 00時14分,雲林縣東勢鄉嘉隆村雲113線公路(船頭26電桿)旁(附近),死亡1;受傷0,自用-小客車;行人-人
175,102年02月02日 03時47分,桃園縣蘆竹鄉山腳村南山北路二段和平街附近(附近),死亡1;受傷1,自用-小客車;自用-小客車
