,發生時間,發生地點,死亡受傷人數,車種
2350,103年04月06日 20時19分00秒,臺中市潭子區潭秀里中山路二段372號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車;民營客運-大客車
2351,103年04月07日 00時12分00秒,臺南市北區長榮路五段425號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小貨車(含客、貨兩用)
2352,103年04月07日 00時20分00秒,高雄市仁武區高楠公路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2353,103年04月07日 03時30分00秒,苗栗縣頭份鎮中興路北上車道(路燈桿10102號)前。,死亡1;受傷0,普通重型-機車
2354,103年04月07日 13時46分00秒,臺中市清水區南社里鰲峰路 / 臺中市清水區南社里民族路二段,死亡1;受傷0,自用-小客車;普通重型-機車
2355,103年04月07日 19時25分00秒,屏東縣屏東市空翔里博愛路265-12號前0.0公尺,死亡1;受傷2,行人-人;普通重型-機車;普通重型-機車
2356,103年04月07日 20時00分00秒,高雄市大社區和平路二段 / 高雄市大社區中華路14巷口,死亡1;受傷0,自用-小客車;普通重型-機車
2357,103年04月07日 21時50分00秒,臺北市萬華區,死亡1;受傷0,自用-小客車;行人-人
2358,103年04月08日 07時46分00秒,屏東縣萬丹鄉萬順路262號橋墩處,死亡1;受傷0,自用-大貨車;普通重型-機車
2359,103年04月08日 16時00分00秒,宜蘭縣員山鄉惠好八路 / 宜蘭縣員山鄉尚好路,死亡1;受傷0,普通重型-機車;自用-小客車
2360,103年04月09日 05時10分00秒,雲林縣莿桐鄉麻園村榮貫路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2361,103年04月09日 08時20分00秒,新竹縣竹北市自強南路 / 新竹縣竹北市福興東路一段,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
2362,103年04月09日 13時40分00秒,臺中市北屯區舊社里旱溪西路三段292號前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車
2363,103年04月09日 15時16分00秒,臺南市歸仁區西埔里西埔一街137號前0.0公尺,死亡1;受傷0,普通重型-機車
2364,103年04月10日 02時41分00秒,屏東縣東港鎮環灣道路,死亡1;受傷0,自用-小客車
2365,103年04月10日 10時40分00秒,新北市中和區連城路前0.0公尺,死亡1;受傷1,自用-大貨車;普通輕型-機車;乘客-人
2366,103年04月10日 14時45分00秒,桃園縣龜山鄉忠義路三段前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車;營業用-大貨車;拖車(架)-其他車
2367,103年04月10日 18時25分00秒,高雄市前鎮區中山三路 / 高雄市前鎮區正勤路口,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
2368,103年04月10日 19時35分00秒,臺中市西屯區協和里工業區一路 / 臺中市西屯區協和里工業區八路,死亡1;受傷1,自用-小客車;大型重型1(550C.C.以上)-機車
2369,103年04月11日 10時05分00秒,高雄市三民區建國三路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車
2370,103年04月11日 15時00分00秒,臺南市龍崎區外考潭11-5號旁,死亡1;受傷0,自用-大貨車;動力機械-其他車
2371,103年04月11日 15時46分00秒,新北市鶯歌區鶯桃路298號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2372,103年04月11日 16時30分00秒,臺中市豐原區南陽里豐原大道三段327號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車
2373,103年04月12日 02時24分00秒,臺南市下營區自由街與174線路口,死亡1;受傷0,普通重型-機車;自用-小客車
2374,103年04月12日 05時25分00秒,南投縣埔里鎮北梅里西安路一段 / 南投縣埔里鎮北梅里西安路一段,死亡1;受傷1,自用-小客車;遊覽車-大客車;乘客-人
2375,103年04月12日 09時10分00秒,臺南市安平區民權路四段 / 臺南市安平區華平路,死亡1;受傷0,營業用-曳引車;普通重型-機車
2376,103年04月12日 09時20分00秒,苗栗縣三義鄉苗51線與西湖外環道附近,死亡1;受傷0,普通重型-機車;自用-小客車
2377,103年04月12日 10時00分00秒,南投縣水里鄉中學路民和國中前,死亡1;受傷0,普通重型-機車
2378,103年04月12日 15時15分00秒,桃園縣大溪鎮介壽路前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車
2379,103年04月12日 15時45分00秒,桃園縣平鎮市義興里延平路二段 / 桃園縣平鎮市義興里振興西路,死亡1;受傷3,普通輕型-機車;普通重型-機車;普通重型-機車;乘客-人
2380,103年04月12日 23時50分00秒,彰化縣大村鄉慶安路前0.0公尺,死亡1;受傷0,普通重型-機車
2381,103年04月13日 01時14分00秒,新北市土城區擺接堡路前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人
2382,103年04月13日 04時55分00秒,彰化縣二林鎮斗苑路1段 / 彰化縣二林鎮萬原路,死亡1;受傷2,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人
2383,103年04月13日 06時00分00秒,臺中市清水區國道4號 3公里西向交流道,死亡1;受傷0,自用-半聯結車
2384,103年04月13日 09時04分00秒,新北市新莊區中正路前0.0公尺,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車
2385,103年04月13日 09時39分00秒,宜蘭縣壯圍鄉大福路三段 / 宜蘭縣壯圍鄉美功路一段,死亡1;受傷0,普通重型-機車;民營公車-大客車
2386,103年04月13日 12時50分00秒,高雄市燕巢區深中路前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
2387,103年04月13日 20時30分00秒,苗栗縣頭份鎮新華里中正一路87號前,死亡1;受傷0,行人-人;自用-小客車;自用-小客車
2388,103年04月13日 21時55分00秒,屏東縣萬丹鄉大學路（頂林高幹75）電桿,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
2389,103年04月13日 22時26分00秒,雲林縣林內鄉中正路 / 雲林縣林內鄉公園路,死亡1;受傷1,行人-人;普通重型-機車
2390,103年04月14日 04時54分00秒,新北市板橋區板城路前0.0公尺,死亡1;受傷0,普通重型-機車
2391,103年04月14日 07時15分00秒,屏東縣萬丹鄉萬大橋西向P34號標示牌處,死亡1;受傷2,普通重型-機車;普通重型-機車;營業用-曳引車;普通重型-機車
2392,103年04月14日 08時29分00秒,嘉義縣六腳鄉台19 81公里300.0公尺處南向路緣,死亡1;受傷0,普通重型-機車
2393,103年04月14日 11時28分00秒,桃園縣中壢市內厝里中正路四段793號前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用)
2394,103年04月14日 12時33分00秒,新北市新莊區新北大道6段260號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2395,103年04月14日 23時05分00秒,高雄市小港區大業北路 / 高雄市小港區二苓路口,死亡1;受傷0,自用-小客車;普通重型-機車
2396,103年04月15日 12時45分00秒,臺南市永康區龍潭里中山北路264巷165弄前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車
2397,103年04月15日 19時36分00秒,苗栗縣竹南鎮龍鳳里龍江街前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
2398,103年04月15日 23時16分00秒,新竹市東區台68線快速道路西往東中華路匝道口附近,死亡1;受傷0,自用-小貨車(含客、貨兩用)
2399,103年04月16日 02時00分00秒,桃園縣八德市茄苳路前0.0公尺,死亡1;受傷0,普通重型-機車
2400,103年04月16日 08時55分00秒,高雄市岡山區岡山北路前0.0公尺,死亡1;受傷0,自用-小客車
2401,103年04月16日 09時50分00秒,屏東縣高樹鄉新豐村民安路前0.0公尺,死亡1;受傷0,普通重型-機車
2402,103年04月16日 09時55分00秒,雲林縣二崙鄉裕民路與民生路287巷口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
2403,103年04月16日 12時30分00秒,雲林縣古坑鄉國道3號 270公里400.0公尺處南向內側,死亡3;受傷5,自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
2404,103年04月16日 13時58分00秒,臺南市善化區東昌1-41號前,死亡1;受傷1,普通輕型-機車;自用-小客車;乘客-人
2405,103年04月16日 23時15分00秒,彰化縣彰化市中山路3段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
2406,103年04月17日 07時15分00秒,彰化縣彰化市中央路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;腳踏自行車-慢車
2407,103年04月17日 11時20分00秒,桃園縣中壢市華勛里華勛街476號前0.0公尺,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人
2408,103年04月17日 12時18分00秒,桃園縣平鎮市忠貞里忠貞路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
2409,103年04月18日 05時16分00秒,臺中市東勢區延平里中正路 / 臺中市東勢區延平里第一橫街,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人
2410,103年04月18日 08時25分00秒,屏東縣鹽埔鄉仕絨村民意路52號前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人
2411,103年04月18日 14時30分00秒,苗栗縣獅潭鄉台三線124.6公里,死亡1;受傷1,自用-小客車;乘客-人
2412,103年04月18日 18時08分00秒,臺南市安定區,死亡1;受傷0,自用-小客車;普通重型-機車
2413,103年04月19日 02時44分00秒,金門縣金城鎮民生路前0.0公尺,死亡1;受傷1,普通重型-機車;計程車-小客車;乘客-人
2414,103年04月19日 11時48分00秒,新北市新店區新潭路3段1巷前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
2415,103年04月20日 04時40分00秒,臺南市關廟區南雄南路0042號路燈前,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用)
2416,103年04月20日 13時00分00秒,臺南市白河區172線道32公里500公尺處,死亡1;受傷8,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
2417,103年04月20日 17時01分00秒,臺北市中正區中華路 / 臺北市中正區漢口街,死亡1;受傷0,民營公車-大客車;行人-人
2418,103年04月20日 17時20分00秒,屏東縣屏東市文明里忠孝路 / 屏東縣屏東市文明里南京路,死亡1;受傷0,普通重型-機車;自用-小客車
2419,103年04月21日 00時07分00秒,桃園縣蘆竹鄉坑口村海山路668號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
2420,103年04月22日 08時48分00秒,彰化縣大村鄉大溪路前0.0公尺,死亡1;受傷0,普通重型-機車
2421,103年04月22日 10時40分00秒,臺中市東區東勢里進化路 / 臺中市東區東勢里福明街,死亡1;受傷0,普通重型-機車;自用-小客車
2422,103年04月22日 16時00分00秒,高雄市大寮區鳳林四路前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車
2423,103年04月22日 19時19分00秒,臺東縣卑南鄉溫泉路卑南鄉路燈編號,死亡1;受傷0,自用-小客車
2424,103年04月22日 20時56分00秒,宜蘭縣宜蘭市泰山路 / 宜蘭縣宜蘭市金六結路,死亡1;受傷0,自用-小客車;普通重型-機車
2425,103年04月22日 22時10分00秒,高雄市岡山區華崗路前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
2426,103年04月23日 16時04分00秒,彰化縣田尾鄉斗中路前0.0公尺,死亡1;受傷1,自用-大貨車;普通重型-機車;乘客-人
2427,103年04月23日 18時02分00秒,南投縣南投市中興路前0.0公尺,死亡1;受傷0,普通重型-機車
2428,103年04月23日 20時52分00秒,新北市汐止區福德一路前0.0公尺,死亡1;受傷0,民營客運-大客車;普通重型-機車
2429,103年04月23日 22時30分00秒,桃園縣大溪鎮台3 37公里200.0公尺處西向外側,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
2430,103年04月24日 02時45分00秒,高雄市岡山區國道1號 348公里400.0公尺處南向外側,死亡1;受傷0,自用-大貨車;營業用-半聯結車
2431,103年04月24日 09時18分00秒,新北市新莊區環河路前0.0公尺,死亡1;受傷0,自用-曳引車;普通重型-機車
2432,103年04月24日 10時55分00秒,苗栗縣南庄鄉台3 98公里900.0公尺處北向外側,死亡1;受傷0,自用-小客車
2433,103年04月24日 12時00分00秒,臺中市東勢區勢林街前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
2434,103年04月24日 15時53分00秒,苗栗縣苑裡鎮苗140線與玉豐5路口,死亡1;受傷2,租賃車-小客車;乘客-人;乘客-人
2435,103年04月24日 16時19分00秒,新北市鶯歌區尖山路177號前0.0公尺,死亡1;受傷0,自用-曳引車;普通重型-機車
2436,103年04月24日 17時01分00秒,臺南市麻豆區南61線(新店高幹85右3)電桿前,死亡1;受傷0,普通重型-機車
2437,103年04月25日 00時05分00秒,彰化縣員林鎮浮圳路1段前0.0公尺,死亡1;受傷0,自用-小客車;自用-小客車;乘客-人
2438,103年04月25日 00時10分00秒,臺北市文山區,死亡1;受傷0,計程車-小客車;普通輕型-機車
2439,103年04月25日 08時31分00秒,雲林縣褒忠鄉泰安路27號前,死亡1;受傷0,普通重型-機車
2440,103年04月25日 22時40分00秒,高雄市小港區高鳳路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
2441,103年04月25日 23時55分00秒,桃園縣大園鄉果林村18鄰三民路二段225號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
2442,103年04月26日 21時15分00秒,臺北市大安區,死亡1;受傷2,自用-小客車;行人-人;普通重型-機車;租賃車-小客車;乘客-人
2443,103年04月27日 03時33分00秒,新竹市北區林森路57號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
2444,103年04月27日 19時20分00秒,臺南市東區林森路二段331號前0.0公尺,死亡1;受傷0,普通重型-機車
2445,103年04月27日 20時37分00秒,桃園縣桃園市國道2號 11公里800.0公尺處西向交流道,死亡1;受傷1,自用-小客車;乘客-人
2446,103年04月27日 22時33分00秒,桃園縣大園鄉橫峰村中山南路一段 / 桃園縣大園鄉橫峰村水源路,死亡1;受傷0,自用-小客車
2447,103年04月27日 23時50分00秒,彰化縣埔鹽鄉大園路 / 彰化縣埔鹽鄉產業道路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通輕型-機車
2448,103年04月28日 02時23分00秒,雲林縣西螺鎮國道1號 229公里800.0公尺處南向交流道,死亡1;受傷1,自用-小客車;乘客-人
2449,103年04月28日 05時10分00秒,高雄市大寮區鳳林二路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
2450,103年04月28日 12時05分00秒,臺南市新市區南科三路前0.0公尺,死亡1;受傷0,普通重型-機車
2451,103年04月28日 22時25分00秒,臺中市東區十甲里旱溪街 / 臺中市東區十甲里一心街,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
2452,103年04月29日 04時57分00秒,臺東縣台東市知本路一段與大學路口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
2453,103年04月29日 07時29分00秒,彰化縣鹿港鎮,死亡1;受傷1,普通重型-機車;普通重型-機車
2454,103年04月29日 17時35分00秒,苗栗縣苗栗市福安里中華路640號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
2455,103年04月29日 23時30分00秒,桃園縣大園鄉埔心村中正東路前0.0公尺,死亡1;受傷0,普通重型-機車;租賃車-小客車
2456,103年04月30日 15時00分00秒,新北市淡水區,死亡1;受傷0,普通重型-機車
2457,103年04月30日 19時00分00秒,臺南市安定區牛肉寮25號路燈路段,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2458,103年04月30日 21時58分00秒,臺南市楠西區南188 5公里400.0公尺處西向一般,死亡2;受傷2,營業用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人
2459,103年05月01日 03時02分00秒,屏東縣萬丹鄉西環路80號對面,死亡1;受傷0,自用-小客車
