,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
2019-12,286,15,9,21,28,26,36,11,11,10,33,11,9,14,19,6,3,1,0,4,2,1,0,12,4
2020-01,278,24,8,23,27,32,29,7,9,4,16,10,17,19,28,4,6,0,0,3,2,2,0,6,2
2020-02,265,27,7,29,33,25,40,8,8,8,15,4,6,6,13,13,5,0,2,7,3,1,0,5,0
2020-03,223,18,6,21,27,23,25,9,5,8,13,5,19,8,14,6,6,1,2,3,2,0,0,2,0
2020-04,216,12,8,16,32,19,28,7,8,7,13,9,14,10,13,2,6,0,1,5,2,0,0,2,2
2020-05,237,12,14,20,31,22,25,6,7,8,23,5,14,9,19,4,2,4,2,4,2,0,0,2,2
2020-06,269,20,9,33,16,26,31,6,10,10,18,10,10,10,19,7,14,0,2,8,3,1,0,6,0
2020-07,245,15,11,16,28,23,35,12,5,5,26,6,10,10,16,4,5,1,4,4,1,0,0,7,1
2020-08,226,22,3,13,22,24,16,3,5,7,21,8,23,10,19,3,11,1,2,3,3,0,0,5,2
2020-09,232,17,7,17,25,31,32,6,4,11,18,7,12,13,14,2,2,1,2,1,1,0,0,9,0
2020-10,261,20,11,27,24,27,30,5,9,16,14,5,11,15,14,5,10,1,3,4,2,2,0,5,1
2020-11,242,24,9,18,23,27,24,5,10,6,11,8,18,8,19,10,2,0,3,3,3,2,0,9,0
2020-12,278,21,9,31,37,38,32,4,11,7,17,5,11,7,28,1,5,2,2,3,3,0,0,3,1
2021-01,276,30,14,18,28,31,31,12,6,14,18,4,14,6,18,8,5,1,4,3,1,0,0,7,3
2021-02,269,25,9,20,18,31,38,8,8,14,15,9,21,10,15,5,8,1,2,1,1,0,0,9,1
2021-03,227,14,11,18,36,21,28,13,4,10,14,4,9,13,18,3,3,2,0,2,0,0,0,4,0
2021-04,221,15,12,21,24,23,24,11,5,10,17,8,8,9,14,2,6,1,1,4,0,1,0,4,1
2021-05,275,21,10,21,22,37,33,7,9,9,19,12,18,16,14,4,5,0,2,4,2,0,0,9,1
2021-06,207,17,9,23,23,28,20,6,8,2,5,5,12,10,10,3,3,1,3,4,4,0,0,10,1
2021-07,217,22,7,22,26,18,16,8,4,6,15,5,7,8,24,10,4,0,3,2,2,0,0,8,0
2021-08,215,21,10,25,13,16,15,6,8,13,20,4,11,10,13,5,9,1,1,4,1,1,0,7,1
2021-09,250,19,13,32,22,23,29,6,3,13,21,9,11,15,14,4,4,2,2,3,0,0,0,5,0
2021-10,254,21,9,16,30,21,32,7,12,10,19,7,15,10,20,6,3,0,8,2,4,0,0,2,0
2021-11,263,25,15,24,20,18,26,13,14,11,16,10,13,9,18,2,5,2,3,10,1,1,0,7,0
2021-12,288,34,11,24,18,26,38,3,12,8,22,4,13,8,28,5,6,1,3,5,5,2,0,7,5
2022-01,265,22,13,29,28,24,23,7,11,8,25,9,9,9,21,8,5,1,0,5,0,1,0,6,1
